127.0.0.1 - - [07/Jan/2022:09:10:24 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:10:24 +0900] "GET /Lecture-Web/css/hw01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:10:24 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:26:20 +0900] "GET /Lecture-Web/javascript/basic/exam06.html HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:26:29 +0900] "GET /Lecture-Web/javascript/basic/exam06.html HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:27:50 +0900] "GET /Lecture-Web/javascript/basic/exam06.html HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:37:21 +0900] "GET /Lecture-Web/javascript/basic/exam07.html HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:37:30 +0900] "GET /Lecture-Web/javascript/basic/exam07.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:37:44 +0900] "GET /Lecture-Web/javascript/basic/exam07.html HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:38:31 +0900] "GET /Lecture-Web/javascript/basic/exam07.html HTTP/1.1" 200 461
0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:39:08 +0900] "GET /Lecture-Web/javascript/basic/exam07.html HTTP/1.1" 200 501
0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:41:38 +0900] "GET /Lecture-Web/javascript/basic/exam07.html HTTP/1.1" 200 638
0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:43:51 +0900] "GET /Lecture-Web/javascript/basic/exam07.html HTTP/1.1" 200 707
0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:46:18 +0900] "GET /Lecture-Web/javascript/basic/exam07.html HTTP/1.1" 200 941
0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:46:29 +0900] "GET /Lecture-Web/javascript/basic/exam07.html HTTP/1.1" 200 944
0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:46:39 +0900] "GET /Lecture-Web/javascript/basic/exam07.html HTTP/1.1" 200 993
0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:52:29 +0900] "GET /Lecture-Web/javascript/basic/exam08.html HTTP/1.1" 200 346
0:0:0:0:0:0:0:1 - - [07/Jan/2022:09:53:50 +0900] "GET /Lecture-Web/javascript/basic/exam08.html HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [07/Jan/2022:10:01:00 +0900] "GET /Lecture-Web/javascript/basic/exam08.html HTTP/1.1" 200 652
0:0:0:0:0:0:0:1 - - [07/Jan/2022:10:01:18 +0900] "GET /Lecture-Web/javascript/basic/exam08.html HTTP/1.1" 200 652
0:0:0:0:0:0:0:1 - - [07/Jan/2022:10:01:27 +0900] "GET /Lecture-Web/javascript/basic/exam08.html HTTP/1.1" 200 646
0:0:0:0:0:0:0:1 - - [07/Jan/2022:10:01:46 +0900] "GET /Lecture-Web/javascript/basic/exam08.html HTTP/1.1" 200 646
0:0:0:0:0:0:0:1 - - [07/Jan/2022:10:35:49 +0900] "GET /Lecture-Web/javascript/basic/exam09.html HTTP/1.1" 200 317
0:0:0:0:0:0:0:1 - - [07/Jan/2022:10:36:32 +0900] "GET /Lecture-Web/javascript/basic/exam09.html HTTP/1.1" 200 368
0:0:0:0:0:0:0:1 - - [07/Jan/2022:10:36:55 +0900] "GET /Lecture-Web/javascript/basic/exam09.html HTTP/1.1" 200 372
0:0:0:0:0:0:0:1 - - [07/Jan/2022:10:37:39 +0900] "GET /Lecture-Web/javascript/basic/exam09.html HTTP/1.1" 200 598
0:0:0:0:0:0:0:1 - - [07/Jan/2022:10:38:29 +0900] "GET /Lecture-Web/javascript/basic/exam09.html HTTP/1.1" 200 689
0:0:0:0:0:0:0:1 - - [07/Jan/2022:10:39:12 +0900] "GET /Lecture-Web/javascript/basic/exam09.html HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [07/Jan/2022:10:40:29 +0900] "GET /Lecture-Web/javascript/basic/exam09.html HTTP/1.1" 200 815
0:0:0:0:0:0:0:1 - - [07/Jan/2022:10:42:57 +0900] "GET /Lecture-Web/javascript/basic/exam09.html HTTP/1.1" 200 937
0:0:0:0:0:0:0:1 - - [07/Jan/2022:10:44:27 +0900] "GET /Lecture-Web/javascript/basic/exam09.html HTTP/1.1" 200 991
0:0:0:0:0:0:0:1 - - [07/Jan/2022:10:46:27 +0900] "GET /Lecture-Web/javascript/basic/exam09.html HTTP/1.1" 200 1011
0:0:0:0:0:0:0:1 - - [07/Jan/2022:10:46:45 +0900] "GET /Lecture-Web/javascript/basic/exam09.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2022:10:47:22 +0900] "GET /Lecture-Web/javascript/basic/exam09.html HTTP/1.1" 200 1012
0:0:0:0:0:0:0:1 - - [07/Jan/2022:10:47:32 +0900] "GET /Lecture-Web/javascript/basic/exam09.html HTTP/1.1" 200 1022
0:0:0:0:0:0:0:1 - - [07/Jan/2022:10:49:11 +0900] "GET /Lecture-Web/javascript/basic/exam09.html HTTP/1.1" 200 1147
0:0:0:0:0:0:0:1 - - [07/Jan/2022:10:49:32 +0900] "GET /Lecture-Web/javascript/basic/exam09.html HTTP/1.1" 200 1151
0:0:0:0:0:0:0:1 - - [07/Jan/2022:10:56:27 +0900] "GET /Lecture-Web/javascript/array/exam02.html HTTP/1.1" 200 354
0:0:0:0:0:0:0:1 - - [07/Jan/2022:10:59:15 +0900] "GET /Lecture-Web/javascript/array/exam02.html HTTP/1.1" 200 541
0:0:0:0:0:0:0:1 - - [07/Jan/2022:10:59:56 +0900] "GET /Lecture-Web/javascript/array/exam02.html HTTP/1.1" 200 532
0:0:0:0:0:0:0:1 - - [07/Jan/2022:11:01:23 +0900] "GET /Lecture-Web/javascript/array/exam02.html HTTP/1.1" 200 624
0:0:0:0:0:0:0:1 - - [07/Jan/2022:11:01:37 +0900] "GET /Lecture-Web/javascript/array/exam02.html HTTP/1.1" 200 612
0:0:0:0:0:0:0:1 - - [07/Jan/2022:11:02:44 +0900] "GET /Lecture-Web/javascript/array/exam02.html HTTP/1.1" 200 633
0:0:0:0:0:0:0:1 - - [07/Jan/2022:11:05:04 +0900] "GET /Lecture-Web/javascript/array/exam03.html HTTP/1.1" 200 293
